run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
37.231,41.8876,75.8571,106.37,54.7888,96.5268,74.54,107.535,72.3439,37.1454,85.5471,70.1999,65.5215,87.261,64.0836,76.2611,64.1907,66.2112,123.966,46.9448,106.186,39.3532,42.6783,46.3766,105.087,34.6617,68.6253,104.02,83.2507,92.4452,72.5699
37.2134,37.2319,72.1167,98.8475,51.3488,87.8589,73.1984,106.688,71.075,32.9272,84.8027,67.9006,57.9439,81.8186,55.9715,76.0742,64.135,65.6617,114.684,46.8433,105.816,35.9656,39.3104,43.071,95.0423,34.3546,62.2574,102.252,80.2418,86.2647,68.9639
35.3144,33.1245,66.4508,93.4985,48.1849,82.8371,72.0416,103.531,69.5024,28.9624,80.1511,66.1716,54.3293,79.2898,54.2413,73.6726,63.5589,63.0042,109.916,41.12,104.48,35.1223,37.5203,39.1036,94.1711,32.1316,56.5529,100.405,79.6098,80.7717,65.959
33.4033,30.5859,65.4819,91.5778,40.9805,75.9727,68.2876,100.881,66.187,25.9088,79.6963,58.3575,54.0432,78.6973,53.8334,69.8131,61.9641,59.9557,108.496,37.945,92.9899,30.998,34.1767,37.8806,93.3804,31.1082,51.6521,99.6696,77.5007,74.6985,62.8707
32.7105,28.4804,58.1977,86.3042,40.8145,74.5074,67.1147,94.3465,65.5798,25.5088,78.3324,56.4126,53.1516,67.239,50.0602,67.2336,61.5695,53.9695,104.688,32.0112,83.9481,30.8274,30.0084,36.066,92.0527,28.8356,41.4695,97.7744,71.9078,64.1402,59.1754
30.4822,25.8266,58.068,81.1934,40.5129,69.9765,63.3231,94.225,60.5261,24.3084,73.3141,54.5728,51.5561,60.1231,46.7631,64.4284,59.937,49.9936,101.045,30.6468,75.3122,28.9637,25.056,34.7434,89.4218,27.7917,36.8882,96.7612,69.5309,61.9901,56.2427
28.6934,25.0246,53.8161,79.3115,40.0853,67.0676,63.1247,93.5047,59.1515,24.0321,65.3161,51.4936,47.4044,55.9439,42.4702,64.029,56.1469,49.8955,95.9548,26.3551,70.1224,26.0322,22.3763,34.6537,82.7352,24.2154,35.8378,91.1297,65.2853,61.9021,53.437
26.3945,22.846,48.0733,77.2998,35.8302,61.9197,60.3242,92.9729,58.917,22.9554,63.4274,50.0622,45.6247,52.7312,39.786,57.5746,54.6568,46.8229,92.8009,24.2873,65.4961,25.684,21.3368,27.8943,76.1035,21.2055,31.2644,85.9272,63.5587,60.1409,50.4639
22.9209,21.1885,46.9069,69.012,35.2066,56.716,59.398,84.7337,52.7164,21.8211,56.082,44.2619,44.0062,52.49,34.3179,52.9314,53.5583,38.1686,81.5547,22.5097,61.6787,23.3915,20.8606,25.3081,73.7978,19.5264,26.2759,76.5699,62.4556,50.7141,46.3693
21.2598,19.1836,44.4119,59.0259,35.0586,56.4795,53.2848,79.7043,50.4631,21.1545,54.6697,38.914,39.5619,47.4746,32.8695,52.6807,46.7559,36.4486,71.7668,18.481,60.4271,18.1356,19.1267,24.018,71.4236,16.9554,24.6999,75.2687,58.6359,47.6531,43.1998
18.8621,18.0918,41.1878,56.1313,34.8693,56.4026,53.2619,79.1084,45.0495,18.3094,50.8105,36.2476,37.6358,40.2727,32.6667,47.9619,44.3208,35.0332,71.7668,18.2594,55.7215,14.4053,18.0079,20.0433,68.5562,13.8594,24.6384,70.8444,55.1915,45.0285,40.7515
