run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
2929.87,1602.97,1501.46,2614.19,1863.37,2504.5,1892.93,2012.87,1878.28,1820.75,2059.41,2150.92,990.873,1995.19,2261.04,1835.78,2040.08,2366.86,2098.49,2346.54,2077.75,2550.41,1983.51,1983.39,2163.64,2069.95,2822.68,1542.84,1776.09,2629.46,2078.87
2747.86,1458.7,1470.55,2337.83,1794.78,2225.24,1820.11,1607.19,1814.25,1713.67,1553.53,1664.99,990.873,1747.03,2006.24,1388.69,1631.62,2159.81,2059.17,1979.29,1842.04,2333.25,1892.12,1854.37,2116.73,1953.58,2358.45,1406.15,1525.5,2270.88,1857.48
2297.26,1458.7,1126.47,2320.19,1380.69,2220.25,1693.33,1541.54,1588.37,1445.27,1455.47,1664.99,990.873,1632.46,1972.26,1374.71,1631.62,1854.11,1874.19,1656.47,1842.04,1984.12,1892.12,1498.39,1928.06,1871.74,1968.36,1406.15,1456.01,2218.19,1708.15
2118.15,1449.21,1126.47,2040.63,1330.62,1846.57,1555.55,1429.82,1429.88,1116.04,1268.41,1528.38,990.873,1632.46,1781.6,1374.18,1562.13,1750.06,1585.91,1656.47,1801.13,1752.47,1892.12,1407.84,1691.63,1772.7,1909.72,1275.67,1352.42,2025.05,1581.81
1881.52,1427.79,936.198,1506.82,1229.53,1840.22,1285.96,1429.82,1429.88,1116.04,1268.41,1459.77,990.873,1562.65,1421.44,1102,1347.52,1169.87,1401.85,1419.94,1455.88,1669.82,1892.12,1180.41,1654.4,1772.7,1635.98,1269.28,1352.42,1986.71,1436.59
1794.24,1397.18,936.198,1333.45,1229.53,1817.88,1282.37,1263.02,1429.88,1024.97,1268.41,1459.77,990.873,1562.65,1285.72,1102,1347.52,1021.54,1401.85,1343.4,1423.42,1517.72,1892.12,1139.9,1357.87,1772.7,1455.84,1269.28,1134.59,1890.57,1371.55
1453.49,1397.18,936.198,1333.45,1110.04,1806.92,1200.87,1263.02,1429.88,1024.97,1268.41,1458.7,990.873,1456.29,1049.71,1102,1347.52,949.451,1401.85,1305.77,1245.05,1356.22,1868.22,1139.9,1357.87,1772.7,1248.17,1240.62,1134.59,1766.89,1313.89
1452.59,1397.18,936.198,1286.65,1110.04,1619.19,1200.87,1257.82,1353.28,1024.97,1268.41,1376.85,940.664,1456.29,1049.71,1102,1347.52,949.451,1401.85,1179.22,1245.05,1338.71,1868.22,1139.9,1334.61,1772.7,1148.65,1228.68,1017.5,1755.07,1285.33
1086.82,1308.66,936.198,1286.65,1110.04,1380.6,1200.87,1167.11,1353.28,1024.97,1148.1,1376.85,940.664,1295.19,896.831,1102,1347.52,898.391,1401.85,1151.92,1245.05,1316.83,1868.22,1139.9,1334.61,1772.7,1148.65,1228.68,1017.5,1173.66,1222.01
1062.87,1308.66,936.198,1286.65,1110.04,1380.6,1200.87,1167.11,1341.56,883.389,1130.83,1216.41,940.664,1295.19,813.103,1040.64,1347.52,898.391,1319.23,1151.92,1199.38,1314.35,1868.22,1139.9,1334.61,1772.7,1148.65,1228.68,1017.5,1169.21,1200.84
