run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
32.2998,26.3883,59.3483,54.6482,21.9236,28.5789,32.6535,28.828,30.0939,34.8797,37.4686,28.2767,41.4083,42.6189,7.28211,41.6178,32.6398,20.7582,37.0269,50.7914,49.9539,24.7434,46.7351,32.799,37.8694,14.6645,26.3044,43.5887,35.0742,20.0167,34.0427
32.2998,25.1323,40.0427,25.0882,21.9236,28.5789,31.2822,28.828,30.0939,34.8797,37.4686,28.2767,41.4083,42.6189,7.28211,38.4857,32.6398,20.7582,13.2521,42.4352,49.9539,24.7434,46.7351,20.5126,33.2941,14.6645,26.3044,43.5887,35.0742,20.0167,30.5888
28.3993,19.4658,40.0427,25.0882,21.9236,28.5789,24.7405,28.828,20.6756,34.8797,27.3866,18.3806,41.4083,42.6189,7.28211,38.4857,32.6398,20.7582,13.2521,42.4352,15.3553,5.53196,37.8087,20.5126,29.3114,14.6645,19.1268,43.0724,35.0742,20.0167,26.5915
28.3993,19.4658,19.0221,25.0882,21.9236,14.2196,24.7405,28.828,20.6756,34.8797,27.3866,18.3806,31.0069,42.6189,7.28211,10.9968,32.6398,20.7582,13.2521,30.9825,15.3553,5.53196,26.2242,15.7136,29.3114,14.6645,19.1268,43.0724,35.0742,20.0167,23.2213
28.3993,19.4658,19.0221,25.0882,21.9236,14.2196,24.7405,28.828,20.6756,27.7372,9.063,18.3806,17.0402,42.6189,7.28211,10.9968,32.6398,20.7582,13.2521,30.9825,15.3553,5.53196,26.2242,15.7136,29.3114,14.6645,19.1268,42.0756,35.0742,20.0167,21.8736
28.3993,19.4658,19.0221,25.0882,21.9236,14.2196,24.7405,28.828,20.6756,8.4281,9.063,18.3806,17.0402,28.5434,7.28211,10.9968,17.1516,12.1512,13.2521,30.9825,15.3553,5.53196,26.2242,15.7136,5.38096,14.6645,19.1268,33.0216,35.0742,20.0167,18.8581
28.3993,19.4658,19.0221,25.0882,21.9236,14.2196,24.7405,28.828,20.6756,8.4281,9.063,18.3806,17.0402,28.5434,7.28211,10.9968,17.1516,12.1512,13.2521,30.9825,15.3553,5.53196,26.2242,15.7136,5.38096,14.6645,19.1268,33.0216,35.0742,20.0167,18.8581
28.3993,19.4658,19.0221,25.0882,21.9236,14.2196,15.7207,28.828,20.6756,8.4281,9.063,18.3806,17.0402,28.5434,7.28211,10.9968,17.1516,12.1512,13.2521,30.9825,15.3553,5.53196,26.2242,4.11786,5.38096,14.6645,19.1268,32.2708,35.0742,20.0167,18.1459
28.3993,19.4658,19.0221,25.0882,21.9236,14.2196,15.7207,26.1669,20.6756,8.4281,9.063,18.3806,17.0402,28.5434,7.28211,10.9968,17.1516,12.1512,13.2521,30.9825,15.3553,5.53196,26.2242,4.11786,5.38096,14.6645,19.1268,23.9322,35.0742,20.0167,17.7793
16.4112,19.4658,5.50677,25.0882,21.9236,14.2196,15.7207,26.1669,20.6756,8.4281,9.063,18.3806,17.0402,24.93,7.28211,10.9968,17.1516,12.1512,13.2521,30.9825,15.3553,5.53196,26.2242,4.11786,5.38096,6.6703,19.1268,23.9322,35.0742,20.0167,16.5422
16.4112,19.4658,5.50677,25.0882,21.9236,14.2196,15.7207,13.0081,20.6756,8.4281,9.063,18.3806,17.0402,24.93,7.28211,10.9968,17.1516,12.1512,13.2521,30.9825,15.3553,5.53196,22.2064,4.11786,5.38096,6.6703,19.1268,18.0671,35.0742,20.0167,15.7742
16.4112,19.4658,5.50677,25.0882,21.9236,14.2196,15.7207,13.0081,20.6756,8.4281,9.063,18.3806,17.0402,24.93,7.28211,10.9968,17.1516,12.1512,13.2521,30.9551,15.3553,5.53196,22.2064,4.11786,5.38096,6.6703,19.1268,4.96261,35.0742,20.0167,15.3365
16.4112,19.4658,5.50677,25.0882,21.9236,12.0594,15.7207,13.0081,14.8313,8.4281,9.063,18.3806,17.0402,24.93,7.28211,10.9968,17.1516,12.1512,13.2521,26.0788,15.3553,5.53196,22.2064,4.11786,5.38096,6.6703,19.1268,4.96261,23.4868,20.0167,14.5208
16.4112,19.4658,5.50677,24.2002,21.9236,12.0594,15.7207,13.0081,14.8313,8.4281,9.063,18.3806,17.0402,24.93,7.28211,10.9968,17.1516,12.1512,13.2521,26.0788,15.3553,5.53196,22.2064,4.11786,5.38096,6.6703,19.1268,4.96261,23.4868,6.4993,14.0407
16.4112,19.4658,5.50677,24.2002,21.9236,12.0594,15.7207,13.0081,14.8313,8.4281,9.063,18.3806,17.0402,24.93,7.28211,10.9968,17.1516,12.1512,13.2521,26.0788,15.3553,5.53196,22.2064,4.11786,5.38096,6.6703,19.1268,4.96261,23.4868,6.4993,14.0407
16.4112,19.4658,5.50677,24.2002,21.9236,12.0594,15.7207,13.0081,14.8313,8.4281,9.063,18.3806,17.0402,24.93,7.28211,10.9968,17.1516,12.1512,13.2521,26.0788,15.3553,5.53196,22.2064,4.11786,5.38096,6.6703,19.1268,4.96261,17.3381,6.4993,13.8357
16.4112,19.4658,5.50677,24.2002,21.9236,12.0594,15.7207,13.0081,14.8313,8.4281,9.063,18.3806,17.0402,24.93,7.28211,10.9968,17.1516,12.1512,13.2521,26.0788,15.3553,5.53196,22.2064,4.11786,5.38096,6.6703,19.1268,4.96261,17.3381,6.4993,13.8357
